,A1CF,ANKHD1,CELF4,CELF5,CELF6,CNOT4,CPEB2,CPEB4,CPO,DAZAP1,ELAVL1,ENOX1,ESRP2,FMR1,FUS,FXR1,FXR2,HNRNPA1,HNRNPA1L2,HNRNPA2B1,HNRNPAB,HNRNPC,HNRNPCL1,HNRNPH2,HNRNPK,HNRNPL,HNRNPLL,HNRNPR,IGF2BP2,IGF2BP3,KHDRBS1,KHDRBS2,KHDRBS3,LIN28A,MATR3,MBNL1,MSI1,NAB2,PABPC1,PABPC3,PABPC4,PABPC5,PABPN1,PCBP1,PCBP2,PCBP3,PPRC1,PTBP1,QKI,RALY,RBFOX1,RBM24,RBM28,RBM3,RBM38,RBM4,RBM41,RBM42,RBM45,RBM46,RBM47,RBM5,RBM6,RBM8A,RBMS1,RBMS3,RSF1,SAMD4A,SART3,SF1,SFPQ,SNRNP70,SNRPA,SRP54,SRSF1,SRSF10,SRSF2,SRSF7,SRSF9,TARDBP,TIA1,TUT1,U2AF2,YBX1,YBX2,ZC3H10,ZC3H14,ZCRB1,ZNF638
A1CF,1.0,0.37028060931232026,-0.48043755500112717,-0.5818187898232445,-0.4326126467898865,-0.6781989094357477,0.35380492938153585,0.35380492938153585,-0.12704426485199183,0.11218446532302082,-0.03945376057274339,0.48864767888764127,-0.21060322330476328,-0.07130048222136712,-0.1299484091998486,-0.10045056783903815,-0.3888291034542215,-0.7528960319307854,-0.32932964752915345,-0.1413707834649985,0.679403351484843,0.2687981293555953,0.2687981293555953,-0.5103490488004466,-0.5110384850852803,0.20255029484264217,0.6071244961746299,-0.7245730586269339,-0.1454618863318606,-0.2271711504982236,0.4641176960668234,0.3023211127813331,-0.2665062771628814,-0.02874760916638284,-0.15467225723867173,-0.426218583600717,0.8337311781931496,0.4712233455494578,0.21212742668664475,0.4829195691844173,-0.3215271246286387,-0.30469702314711233,0.3005320332413144,-0.11205263875407605,0.2672142720034377,0.5190897164138442,-0.10779590117976415,0.03115516229778447,-0.5522636865287988,0.1919131896058257,0.9120224945032273,-0.7909382879126999,0.11657213664532853,0.8665355071900687,-0.4138491296561181,-0.4473750771383381,0.28818931269875164,-0.22803638199397255,-0.4929620291190468,-0.3082495907069269,0.0030561745762092024,-0.32808477438926636,-0.6172245455734207,-0.21822057850931725,0.9224294102753923,0.7250398046534478,-0.6072493957415543,-0.8066636240968821,0.21212742668664475,0.00882491080222426,-0.0587603861152052,-0.3255185600667986,-0.05428034391266928,0.5335171660043738,-0.17624554539336487,0.8398999818770827,0.27480145797245153,-0.35786007454476004,-0.2765324723021865,-0.1693715015872211,0.25120894310157244,-0.5854526357054396,0.11350344908788276,-0.08375158487622492,0.6790388644024218,0.25375591897443817,0.10608558745372723,-0.0313709303745149,0.5943448538083238
ANKHD1,0.37028060931232026,1.0,-0.7411759306068563,-0.7003594635059552,-0.7778709654023629,-0.3559343014569016,-0.5241620137430395,-0.5241620137430395,0.5358328385485321,-0.7310326629426824,-0.7568993469542334,-0.13442516570229757,-0.47616623850480544,0.5866543250295758,-0.7366356064831846,0.474703830627365,-0.7588303020836398,-0.07413099372311216,-0.8941733819910656,-0.795228595730923,-0.20530849442685256,-0.5907295616408744,-0.5907295616408744,-0.8249063127554033,-0.5745285862459557,-0.4923807579494204,0.2076310985095444,-0.01461893094067422,-0.6023458144528688,-0.5783980618319031,0.08991096457982113,-0.4796831908596121,-0.872382017826129,-0.6473457620860765,-0.8517568824063149,0.35310099952887564,-0.045338678673349744,0.4398830004926381,-0.5261943312777153,-0.36661120397529384,-0.2268368190383494,0.3632753705119808,-0.5418722651710165,-0.820639686681259,-0.6473817615696931,-0.4567409741378353,-0.6460609277464064,-0.8082500877718541,-0.4596052063556026,-0.6380654347620723,0.14649833801974516,-0.5016451761731259,-0.7050134398198848,0.5745379287329803,-0.6343872712592649,-0.5823886050708851,-0.5846308078136487,-0.9121722781490833,-0.6421364444573143,-0.897988603918865,-0.7936873205350568,-0.7907613963575841,-0.777811893528562,-0.7039953385185714,0.5413555514142749,0.5041615382139867,0.22167596108049914,-0.6787974626675853,-0.5261943312777153,-0.7879143589059681,-0.802895463892462,-0.9027173090034193,-0.7419402206009785,-0.3552507599039359,-0.7146800620115061,0.11455716082768688,-0.04926238849150017,0.5767196152305603,-0.746177109204,0.6258796526788744,-0.5761099041647038,0.12112581399665376,-0.7438936603498124,0.3108887741635438,-0.22721773463072903,0.7977119858747114,-0.6824850812919248,-0.7741383030339581,0.056469832356580534
CELF4,-0.48043755500112717,-0.7411759306068563,1.0,0.9860392474610119,0.987143465858197,0.7247683240009624,0.5220991590874363,0.5220991590874363,-0.3908870880660275,0.7223810846518686,0.8236256260051257,0.3405444983606464,0.8270698106689345,-0.455676029761132,0.8623230061811084,-0.3805071898766426,0.931538928563363,0.31201670626549816,0.9080759563554827,0.8133172128099151,0.06572103896103626,0.5891015520631054,0.5891015520631054,0.947737946054211,0.8449874980540008,0.7060787442033097,-0.29150284963273027,0.26855391549855273,0.8670596517235721,0.8633695204241244,0.25693880979353767,0.5784513267593923,0.8751792810601937,0.8306346628577915,0.8416765663846361,-0.21525976087164547,-0.07117400266038922,-0.2583693713570487,0.7046359829451032,0.3941656730238614,0.6575879532629325,-0.20538845047561421,0.5597698916235077,0.864447769351068,0.6445941102106614,0.41693912794174515,0.8429079625990586,0.7957431017839626,0.5880581508185182,0.6571039973972884,-0.20131745643169824,0.6815007222173096,0.7008147918781195,-0.6871750819577015,0.9697499626358853,0.9212456796399614,0.5329334070211849,0.8582955194273132,0.6674350457989724,0.8960448865630355,0.7743324650427572,0.932308269147768,0.960771216064256,0.9002373639966478,-0.5325290852415293,-0.6672903289074928,0.14749035208353747,0.8296974230493751,0.7046359829451032,0.7378023701858499,0.8298634428099647,0.9042774376353155,0.8225560146071718,0.3187459234188559,0.9016680427789133,-0.055631367442595205,0.1497299076790127,-0.25111769731095257,0.895201086153064,-0.545207586565163,0.6057457922570278,-0.0027486682205253832,0.7312660075265602,-0.30852277074202156,0.13281925306162773,-0.5220714186650522,0.7263984913405266,0.7495034709120988,-0.09870290675613304
CELF5,-0.5818187898232445,-0.7003594635059552,0.9860392474610119,1.0,0.9716771618314993,0.7724030472344569,0.42717717368419655,0.42717717368419655,-0.3315264178857961,0.6257549388058328,0.7539232307068712,0.2688959574945978,0.8058567737406442,-0.386928058180375,0.8174905241340112,-0.3241394188767066,0.8918804894322361,0.3894788381876494,0.8545206597908506,0.7346596781821095,-0.0377234190151229,0.4992271176464999,0.4992271176464999,0.9258043699064779,0.8678927194590216,0.6248409050887077,-0.3526794030793775,0.36485639160021444,0.8360555280076929,0.850196058890459,0.1902422914097855,0.4858057865722176,0.8112828221511477,0.7495429129730358,0.7729476254526865,-0.12355400720322841,-0.19493827580831885,-0.2670031661636898,0.619227576048109,0.2965761553924068,0.6733047195943956,-0.12762844453496355,0.4684815218328716,0.7967815086447912,0.5475258117899685,0.2981830669589796,0.8069484774298061,0.7110635605629249,0.6231469560951021,0.5724869270149613,-0.3200413943165758,0.7325628001924821,0.612178128906893,-0.7425574400613297,0.9541683066279375,0.9175166630073442,0.4496181459459629,0.7935281555714084,0.6841424335441709,0.8419645505335853,0.7030563912105973,0.8855330876829268,0.9627258568639772,0.87423692400632,-0.6124034957039522,-0.7012726809929597,0.2734548486556864,0.8728753687083816,0.619227576048109,0.6599681148305586,0.7537063784938791,0.8642693861479565,0.7541475511797506,0.1984912875282592,0.8353748989446736,-0.16316972134083624,0.07204845390306637,-0.13015771091495343,0.8403727919587025,-0.45761084952661557,0.5210858861683756,0.09233711731371817,0.6396407482089181,-0.258044245121323,0.028495821772569277,-0.46885615504613526,0.6459041613259991,0.6899227823451584,-0.1589346362902219
CELF6,-0.4326126467898865,-0.7778709654023629,0.987143465858197,0.9716771618314993,1.0,0.6607369101390432,0.5963697670249377,0.5963697670249377,-0.46661016640373626,0.7683788103611112,0.8707836113722256,0.4082979844965087,0.8223413605979926,-0.5243195110664141,0.894303200529052,-0.4554660239592367,0.9121233295697454,0.21985340923279395,0.921221013345995,0.8236330403224826,0.1579725403431296,0.6594444430869891,0.6594444430869891,0.9356509098108192,0.8293645062621999,0.7410576354481245,-0.2647806734822063,0.19561503620960985,0.9009504479837239,0.8776623186212799,0.26916846790433996,0.6367288741636298,0.8875302572648186,0.8319859350463461,0.8765465712984439,-0.2993938338191881,0.0003788191145149114,-0.2532060631823724,0.7479033952219405,0.47218402588983654,0.6195233710182185,-0.2788606976646125,0.631752305509586,0.8925128130690575,0.6996027945498958,0.48253561595513156,0.8832923082987442,0.8364163773815625,0.5545881105168855,0.7231464169936408,-0.15513769915402612,0.6180460843225143,0.7571047735870641,-0.6452462435710761,0.9467275408741217,0.897890596363665,0.6122233461488734,0.8900098505021183,0.6559058494860767,0.9167254565196795,0.8332081660170957,0.9267757929379127,0.9444473959296088,0.9370242897869757,-0.4970201619998542,-0.6097939968199303,0.10396616012821355,0.7939867777251182,0.7479033952219405,0.7819745795193962,0.8743414388464775,0.9333458909059958,0.8613284744490555,0.3787415787370591,0.8950723289700088,0.008523139041804005,0.10939890471924706,-0.30315895376512403,0.8856696640837447,-0.6239768979370327,0.6764228319262315,-0.06752518867924501,0.783007172396357,-0.3714164755043691,0.2269092093698116,-0.5500406183330954,0.7845001625277422,0.8099129433535531,-0.020976238428433318
CNOT4,-0.6781989094357477,-0.3559343014569016,0.7247683240009624,0.7724030472344569,0.6607369101390432,1.0,-0.12326986458698885,-0.12326986458698885,0.26847334382387433,0.166154663695543,0.2550164384880317,-0.11305162322067702,0.5899893182217651,0.17890004454780958,0.49970651000710314,0.26776258782031914,0.7110825373403027,0.8140631299798136,0.5525156864462978,0.4997741441513158,-0.514175189069143,-0.06254943067040712,-0.06254943067040712,0.7630272750644463,0.7714459863474522,0.36180476197987416,-0.09702422770355718,0.8002313951408021,0.531984175098468,0.7005988399316528,0.18726212063271244,-0.023489439982386735,0.5311761099648887,0.558486256316308,0.31275786858005117,0.3721497306238064,-0.5751776538375029,-0.0073257342003587005,0.19218540841116777,-0.21905678027479186,0.8316713157285365,0.41699700213918023,-0.07403777340395752,0.478880457923153,0.1736273654509818,-0.13590030665396463,0.43988570266719046,0.28015108004156447,0.8483944149071085,0.020972121625287134,-0.5108936619126191,0.8980813968573771,0.09837410194058549,-0.6391187813790127,0.7735778248569111,0.7672045715887712,-0.08501373251437663,0.4330082284413825,0.5892464156269437,0.45035686678296794,0.20206071045052493,0.6800094498132333,0.7934757326473494,0.4942395431237429,-0.6536344715549216,-0.7674992556706536,0.4404468019710508,0.8212307659855675,0.19218540841116777,0.409062797597089,0.2756603208546267,0.4480053874151532,0.24933941767520834,-0.27607076180368567,0.540470056216979,-0.4110756791712829,0.3506490928345061,0.19073213836115793,0.7002599623028005,0.04081580657856635,-0.03263648160684101,0.5437462257741518,0.14152222585648555,0.22147861132993843,-0.4234009134914464,-0.22146202116520794,0.11715984698927007,0.1402963982451808,-0.5648773441890261
CPEB2,0.35380492938153585,-0.5241620137430395,0.5220991590874363,0.42717717368419655,0.5963697670249377,-0.12326986458698885,1.0,1.0,-0.8341216333376774,0.9136815511933476,0.9042898330846125,0.859736468463377,0.519722315133564,-0.8558184178126882,0.6780557036683563,-0.825783343648214,0.4953660727988134,-0.6201310138123871,0.6177959870300929,0.6367853632492586,0.8629569034049511,0.9942768076362554,0.9942768076362554,0.4178780605981928,0.2351347131128472,0.79680079411396,-0.015690651069316164,-0.6344773845092104,0.7116580874343351,0.5042252749924833,0.4057768033731927,0.9728972562163798,0.6212945864723545,0.6480484278605659,0.8126948161179167,-0.8653126197374048,0.7789747873192836,-0.16697608556126448,0.9223326923362087,0.9742604886633778,0.08159565925061336,-0.8245459537673797,0.9928589099354365,0.7132798688676839,0.8492512418946392,0.9277806784114603,0.7348897157593792,0.8445852283101968,-0.16178523666465086,0.9834356876627712,0.5454281828056617,-0.22216181843358435,0.9519488033188093,0.0004655754206646447,0.4790100729750175,0.38809059278548874,0.9573451338824555,0.6941732175060594,0.15448790880333427,0.6915383061980662,0.8959119130243535,0.5497105163965422,0.36113700144490135,0.7159605505347032,0.2716522925115434,0.02645073276671994,-0.4337863122967305,0.03170615581761759,0.9223326923362087,0.6799459564835374,0.8785979824654794,0.7089812656931722,0.8865202653108983,0.933768181235786,0.6746075329523569,0.679178010915431,0.034524812634023266,-0.6618398532776181,0.5108699451989123,-0.9309484907192381,0.9923757968606578,-0.7602312637177222,0.9336650123582493,-0.7287282122249765,0.8758959442974071,-0.4324626088743143,0.9608644627884553,0.8950675214720891,0.5370382358523522
CPEB4,0.35380492938153585,-0.5241620137430395,0.5220991590874363,0.42717717368419655,0.5963697670249377,-0.12326986458698885,1.0,1.0,-0.8341216333376774,0.9136815511933476,0.9042898330846125,0.859736468463377,0.519722315133564,-0.8558184178126882,0.6780557036683563,-0.825783343648214,0.4953660727988134,-0.6201310138123871,0.6177959870300929,0.6367853632492586,0.8629569034049511,0.9942768076362554,0.9942768076362554,0.4178780605981928,0.2351347131128472,0.79680079411396,-0.015690651069316164,-0.6344773845092104,0.7116580874343351,0.5042252749924833,0.4057768033731927,0.9728972562163798,0.6212945864723545,0.6480484278605659,0.8126948161179167,-0.8653126197374048,0.7789747873192836,-0.16697608556126448,0.9223326923362087,0.9742604886633778,0.08159565925061336,-0.8245459537673797,0.9928589099354365,0.7132798688676839,0.8492512418946392,0.9277806784114603,0.7348897157593792,0.8445852283101968,-0.16178523666465086,0.9834356876627712,0.5454281828056617,-0.22216181843358435,0.9519488033188093,0.0004655754206646447,0.4790100729750175,0.38809059278548874,0.9573451338824555,0.6941732175060594,0.15448790880333427,0.6915383061980662,0.8959119130243535,0.5497105163965422,0.36113700144490135,0.7159605505347032,0.2716522925115434,0.02645073276671994,-0.4337863122967305,0.03170615581761759,0.9223326923362087,0.6799459564835374,0.8785979824654794,0.7089812656931722,0.8865202653108983,0.933768181235786,0.6746075329523569,0.679178010915431,0.034524812634023266,-0.6618398532776181,0.5108699451989123,-0.9309484907192381,0.9923757968606578,-0.7602312637177222,0.9336650123582493,-0.7287282122249765,0.8758959442974071,-0.4324626088743143,0.9608644627884553,0.8950675214720891,0.5370382358523522
CPO,-0.12704426485199183,0.5358328385485321,-0.3908870880660275,-0.3315264178857961,-0.46661016640373626,0.26847334382387433,-0.8341216333376774,-0.8341216333376774,1.0,-0.7762495406481396,-0.7629578847047453,-0.5797615779856993,-0.20454364614872889,0.9414671489658835,-0.3998908313636866,0.9383800994905953,-0.37922608723482815,0.5935908346674186,-0.5348717162646099,-0.5028010864390396,-0.7223720960636516,-0.845210722842951,-0.845210722842951,-0.3213315241989391,0.010099453817774554,-0.4472073236452647,0.3880259246357227,0.6370280564617561,-0.473174184948972,-0.2106394023249727,-0.0403563435569519,-0.8173958382152913,-0.5249235968360144,-0.3625592464514028,-0.7275377266310665,0.89226435431697,-0.5965351333748836,0.44467687009946755,-0.6984187166096631,-0.7976783241214755,0.12700821470676646,0.8556590527023298,-0.82914355261665,-0.481998012893644,-0.532326276252655,-0.6766269208106235,-0.45054045219026206,-0.6635187768938189,0.38194156232931414,-0.834494020884738,-0.21595909701179863,0.24150991274696332,-0.8257533893738599,0.22587871513829985,-0.3068137755984728,-0.172383535595565,-0.7917524181829872,-0.5812109312646666,-0.05389594595409702,-0.6463365849075497,-0.7763683433873209,-0.3824319698403699,-0.2785558531730502,-0.4941124733367874,-0.08758154350455756,0.10010362067797503,0.4358468402021395,-0.033460233115212554,-0.6984187166096631,-0.3928019601175414,-0.7557114401515467,-0.6421893770650962,-0.7438985200839708,-0.7864931461991291,-0.4526238552024886,-0.39786233741980276,0.2225833906100505,0.6748233261349971,-0.3102566361951538,0.85844312799163,-0.827515906260113,0.7822763842716977,-0.7897591323582348,0.8335322353930847,-0.6747405030758848,0.5921377689586371,-0.8191034164447906,-0.8269551540302289,-0.36129635096304424
DAZAP1,0.11218446532302082,-0.7310326629426824,0.7223810846518686,0.6257549388058328,0.7683788103611112,0.166154663695543,0.9136815511933476,0.9136815511933476,-0.7762495406481396,1.0,0.9579031233239705,0.6869766705171553,0.578690974935839,-0.8272888388722266,0.7870182901648526,-0.7307495123863286,0.7674730740283866,-0.3224377763405236,0.8597599636732204,0.8847647110251827,0.6611036429914349,0.9312352807892363,0.9312352807892363,0.7042514502816033,0.3956459439467495,0.8460224601880507,-0.05595627193535132,-0.3888850121885504,0.7915971188073256,0.6332241431677265,0.3824497528649974,0.9272369043184371,0.8708502996121774,0.8410394582377418,0.9458761922731295,-0.7623099271697054,0.5838930732784697,-0.251521305648206,0.93524283457301,0.8422840119051992,0.29997730595831285,-0.6956221573290671,0.920647902111576,0.8761137818380204,0.8875150096915612,0.8828401608521015,0.7788950917268521,0.9549103133862329,0.09982159188881154,0.9522335417968513,0.34844715213375665,0.10599359589072009,0.9841980755306919,-0.25794290133479525,0.7018026180955143,0.5575414981410336,0.8836693002187871,0.8867441509938632,0.3372238513399923,0.8907422926055197,0.9552921127351611,0.800154219090761,0.6225433096340387,0.7871993868229806,0.020724350309495543,-0.30837194537851076,-0.4742564290239498,0.2999906709900042,0.93524283457301,0.8221015005127552,0.9722283304317775,0.8706340614913564,0.9363746562100228,0.8563102815785911,0.847366489739762,0.47700929236575956,0.25021444721150643,-0.766896444135978,0.7789420738936452,-0.9253075577115504,0.9257262940462048,-0.6159510899885033,0.9898229848049148,-0.6562358268835594,0.6816404037873313,-0.6817875765126653,0.9693815476231624,0.916952893405865,0.21958207368888744
