"","Oligodendrocytes_vs_OPC","Oligodendrocytes_vs_Astrocytes","Oligodendrocytes_vs_Microglia","Oligodendrocytes_vs_Endothelial","Oligodendrocytes_vs_Excitatory","Oligodendrocytes_vs_Inhibitory","OPC_vs_Oligodendrocytes","OPC_vs_Astrocytes","OPC_vs_Microglia","OPC_vs_Endothelial","OPC_vs_Excitatory","OPC_vs_Inhibitory","Astrocytes_vs_Oligodendrocytes","Astrocytes_vs_OPC","Astrocytes_vs_Microglia","Astrocytes_vs_Endothelial","Astrocytes_vs_Excitatory","Astrocytes_vs_Inhibitory","Microglia_vs_Oligodendrocytes","Microglia_vs_OPC","Microglia_vs_Astrocytes","Microglia_vs_Endothelial","Microglia_vs_Excitatory","Microglia_vs_Inhibitory","Endothelial_vs_Oligodendrocytes","Endothelial_vs_OPC","Endothelial_vs_Astrocytes","Endothelial_vs_Microglia","Endothelial_vs_Excitatory","Endothelial_vs_Inhibitory","Excitatory_vs_Oligodendrocytes","Excitatory_vs_OPC","Excitatory_vs_Astrocytes","Excitatory_vs_Microglia","Excitatory_vs_Endothelial","Excitatory_vs_Inhibitory","Inhibitory_vs_Oligodendrocytes","Inhibitory_vs_OPC","Inhibitory_vs_Astrocytes","Inhibitory_vs_Microglia","Inhibitory_vs_Endothelial","Inhibitory_vs_Excitatory"
"A1CF",0,0,0,0,-0.0141729422517789,-0.00717969962695597,0,0,0,0,-0.00836757488591577,-0.00137433226109285,0,0,0,0,-0.013150822940853,-0.00615758031603009,0,0,0,0,-0.0143987691350589,-0.00740552651023596,0,0,0,0,-0.0143987691350589,0,0.0141729422517789,0.00836757488591577,0.013150822940853,0.0143987691350589,0.0143987691350589,0.00699324262482293,0.00717969962695597,0.00137433226109285,0.00615758031603009,0.00740552651023596,0,-0.00699324262482293
"ANKHD1",0,-0.247064272792777,0.0924632126061893,0,-0.936722650356518,-0.358862870079375,0,-0.22826388753114,0,0,-0.917922265094881,-0.340062484817738,0.247064272792777,0.22826388753114,0.339527485398966,0.216254286788985,-0.689658377563741,-0.111798597286597,-0.0924632126061893,0,-0.339527485398966,0,-1.02918586296271,-0.451326082685564,0,0,-0.216254286788985,0,-0.905912664352726,0,0.936722650356518,0.917922265094881,0.689658377563741,1.02918586296271,0.905912664352726,0.577859780277143,0.358862870079375,0.340062484817738,0.111798597286597,0.451326082685564,0,-0.577859780277143
"CELF4",-0.0665066123503268,-0.0696601792941862,0,-0.379578801273761,-2.5788433030505,-2.16114831160116,0.0665066123503268,0,0,-0.313072188923434,-2.51233669070017,-2.09464169925083,0.0696601792941862,0,0,-0.309918621979574,-2.50918312375631,-2.09148813230697,0,0,0,-0.374194072839551,-2.57345857461629,-2.15576358316695,0.379578801273761,0.313072188923434,0.309918621979574,0.374194072839551,-2.19926450177674,-1.7815695103274,2.5788433030505,2.51233669070017,2.50918312375631,2.57345857461629,2.19926450177674,0.41769499144934,2.16114831160116,2.09464169925083,2.09148813230697,2.15576358316695,1.7815695103274,-0.41769499144934
"CELF5",-0.242248753534591,0,0,0,-1.72349127522143,-1.04407144907677,0.242248753534591,0.228215658148285,0.238813109528035,0,-1.48124252168684,-0.801822695542177,0,-0.228215658148285,0,0,-1.70945817983512,-1.03003835369046,0,-0.238813109528035,0,0,-1.72005563121487,-1.04063580507021,0,0,0,0,-1.59237596844037,-0.912956142295703,1.72349127522143,1.48124252168684,1.70945817983512,1.72005563121487,1.59237596844037,0.679419826144662,1.04407144907677,0.801822695542177,1.03003835369046,1.04063580507021,0.912956142295703,-0.679419826144662
"CELF6",0.0447920183866712,-0.0498912430779701,0,0,-0.632707091038508,-0.378494589571568,-0.0447920183866712,-0.0946832614646413,-0.010374900304452,0,-0.677499109425179,-0.42328660795824,0.0498912430779701,0.0946832614646413,0.0843083611601894,0,-0.582815847960538,-0.328603346493598,0,0.010374900304452,-0.0843083611601894,0,-0.667124209120727,-0.412911707653788,0,0,0,0,-0.627179642354127,-0.372967140887187,0.632707091038508,0.677499109425179,0.582815847960538,0.667124209120727,0.627179642354127,0.25421250146694,0.378494589571568,0.42328660795824,0.328603346493598,0.412911707653788,0.372967140887187,-0.25421250146694
"CNOT4",-0.350514719623701,-0.328623809314,0.0571528820652356,0,-0.968439390840044,-0.517305295909819,0.350514719623701,0,0.407667601688937,0.370989416074131,-0.617924671216343,0,0.328623809314,0,0.385776691379235,0.349098505764429,-0.639815581526044,0,-0.0571528820652356,-0.407667601688937,-0.385776691379235,0,-1.02559227290528,-0.574458177975055,0,-0.370989416074131,-0.349098505764429,0,-0.988914087290474,-0.537779992360249,0.968439390840044,0.617924671216343,0.639815581526044,1.02559227290528,0.988914087290474,0.451134094930225,0.517305295909819,0,0,0.574458177975055,0.537779992360249,-0.451134094930225
"CPEB2",0.418028443664228,0.394913113745702,0.945958575648062,0.828981859823787,0.308083338161883,0.241285053107551,-0.418028443664228,-0.0231153299185252,0.527930131983835,0.41095341615956,-0.109945105502345,0,-0.394913113745702,0.0231153299185252,0.55104546190236,0.434068746078085,-0.0868297755838197,-0.153628060638151,-0.945958575648062,-0.527930131983835,-0.55104546190236,0,-0.637875237486179,-0.704673522540511,-0.828981859823787,-0.41095341615956,-0.434068746078085,0,-0.520898521661904,-0.587696806716236,-0.308083338161883,0.109945105502345,0.0868297755838197,0.637875237486179,0.520898521661904,-0.0667982850543316,-0.241285053107551,0,0.153628060638151,0.704673522540511,0.587696806716236,0.0667982850543316
"CPEB4",-0.879890252818618,-0.772639177114367,0,0,-1.40007389323701,-0.419523723832134,0.879890252818618,0.107251075704251,0.921023796313712,0.810895007368341,-0.52018364041839,0.460366528986484,0.772639177114367,-0.107251075704251,0.81377272060946,0.70364393166409,-0.627434716122641,0.353115453282233,0,-0.921023796313712,-0.81377272060946,0,-1.4412074367321,-0.460657267327228,0,-0.810895007368341,-0.70364393166409,0,-1.33107864778673,0,1.40007389323701,0.52018364041839,0.627434716122641,1.4412074367321,1.33107864778673,0.980550169404874,0.419523723832134,-0.460366528986484,-0.353115453282233,0.460657267327228,0,-0.980550169404874
"CPO",0.010968882482171,0,0,0,-0.210003797275,-0.0905733737824037,-0.010968882482171,0,0,0,0,0,0,0,0,0,-0.213519247156782,-0.0940888236641864,0,0,0,0,-0.228053998386501,-0.108623574893905,0,0,0,0,0,0,0.210003797275,0,0.213519247156782,0.228053998386501,0,0,0.0905733737824037,0,0.0940888236641864,0.108623574893905,0,0
"DAZAP1",0.108761195877872,0.110462442492262,0.20125755698259,0.158337572591152,-0.25928145036741,0.00716974126191117,-0.108761195877872,0,0,0,-0.368042646245282,0,-0.110462442492262,0,0.0907951144903287,0,-0.369743892859671,-0.10329270123035,-0.20125755698259,0,-0.0907951144903287,0,-0.46053900735,0,-0.158337572591152,0,0,0,0,0,0.25928145036741,0.368042646245282,0.369743892859671,0.46053900735,0,0.266451191629321,-0.00716974126191117,0,0.10329270123035,0,0,-0.266451191629321
