"","Oligodendrocytes","OPC","Astrocytes","Microglia","Endothelial","Excitatory","Inhibitory"
"A1CF",-0.00737398897488073,0.00204717635721141,-0.00326115507172386,-0.00424826557586377,0,0.0125829711776384,0.00378541612762429
"ANKHD1",-0.51001459382492,-0.283260308530056,-0.0480835937436881,-0.394624161880437,0,0.839200011850166,0
"CELF4",-1.82696689256416,-1.19715196290251,-1.26572464065861,-1.24862184756325,-0.843692791502169,1.96171795084447,1.13850426962818
"CELF5",-1.0446402501325,-0.413801554580468,-0.697117173621861,-0.654413644993086,-0.507516054837166,1.49348076274194,0.473874179827421
"CELF6",-0.338124681967051,-0.242802973526982,-0.156061799202784,-0.229152561473499,0,0.565482842319662,0.22096293474973
"CNOT4",-0.601893248653847,0.00505056185238772,-0.0196200088078966,-0.416655230319154,-0.366847469610303,0.804522572665374,0.197446501773051
"CPEB2",0.363116383382233,-0.251205306349691,-0.245968247738968,-0.790705926469223,-0.651526450292591,-0.156500082508233,-0.0713872677731517
"CPEB4",-0.924382071133606,0.343918898507824,0.252458938594089,-0.615707810641964,-0.48728984543805,1.12138240805677,-0.154060466592833
"CPO",-0.0934258017079987,0,0,0,0,0.198082422730423,0.0468088210312698
"DAZAP1",-0.044687145530244,-0.13901512178225,-0.152908104388416,-0.23298155528357,0,0,-0.0349844574330909
"ELAVL1",-0.250450100263099,0,-0.171520579068076,-0.208897996836731,0,0.466699855175003,0.115819083985621
"ENOX1",-0.607689490847775,-1.43246693046853,-1.44541233369406,-2.10137576269824,-1.55370673864285,1.3826430231732,0.650855734250685
"ESRP2",-0.000306629384561274,-0.000604919442134477,-0.000181803743397602,-0.000104792195759318,0,0.000272886621832669,0.000838699259285258
"FMR1",-0.291142819366851,-0.0985031546032211,0,-0.194607593426608,0,0.465879104072318,0.152818176079279
"FUS",-0.276463198115784,0.0591007173844076,-0.267492210445402,-0.180360186648795,0,0.522101975819488,0.127678534391052
"FXR1",-0.260870892293636,-0.242950108483458,-0.29326749657026,-0.568881113293352,-0.314136635375176,0.622228999445109,0.171359299509244
"FXR2",-0.106236932435961,0,0,0,0,0.206373227122174,0
"HNRNPA1",0,0,-0.117765301386521,0,0,0,0.129641335166695
"HNRNPA1L2",-0.00759153498585508,-0.00365952688070048,-0.00141240994436487,-0.00557974674939365,0,0.0107814630458674,0.00770219138430095
"HNRNPA2B1",-0.244471041437489,0.0673431187727282,-0.207352430562316,-0.358204183051654,-0.297043486868487,0.48835284620066,0
"HNRNPAB",-0.0392622297891179,0,-0.0262501558144785,0.00499929860663384,0,0.0660796876211549,0.0332213615190242
"HNRNPC",-0.558664335486429,-0.180207613562649,-0.135090015715879,-0.258560053457729,0,0.854670925231943,0.16091960035785
"HNRNPCL1",-3.43233222137584e-05,-1.89075723719956e-05,-2.06215656106679e-05,-1.86600836962203e-05,0,-2.18906909379424e-05,0.000145572376984981
"HNRNPH2",-0.124235176193487,0,0,-0.0616597958051752,0,0.224661088799405,0.101637374805829
